Time Step,Distance (m),Received Power (W)
200,4768.948877424311,2.505979117402355e-08
201,4766.990761751267,2.508038280108602e-08
202,4765.944963272594,2.5091390861026876e-08
203,4765.813726644724,2.5092772767686522e-08
204,4766.609849157991,2.5084391442731006e-08
205,4768.310498622257,2.506650160546531e-08
206,4770.908467838642,2.5039209416114885e-08
207,4774.367167283564,2.5002944199095873e-08
208,4778.669310714202,2.495794513126546e-08
209,4783.74310208841,2.490503081318519e-08
210,4789.537421451894,2.4844807706518062e-08
211,4796.001658332558,2.4777879252185948e-08
212,4803.04109666729,2.470530251131967e-08
213,4810.609309032961,2.4627629232821433e-08
214,4818.60057199681,2.4546011067936675e-08
215,4826.936938699715,2.446129985110216e-08
216,4835.510268819479,2.437463727544573e-08
217,4844.232358743047,2.428694272646313e-08
218,4853.024616378432,2.4199020805095334e-08
219,4861.7849243786095,2.4111892357921388e-08
220,4870.393260554832,2.402673297472128e-08
221,4878.79245364463,2.394407667793873e-08
222,4886.879599006123,2.386489363241984e-08
223,4894.581894739184,2.3789843365120215e-08
224,4901.801299245189,2.3719819300185636e-08
225,4908.469557458512,2.365541533904163e-08
226,4914.5273688705865,2.3597134362652173e-08
227,4919.899469040757,2.3545630480699224e-08
228,4924.532108918806,2.3501351301357275e-08
229,4928.396521187276,2.3464510392217995e-08
230,4931.438462896155,2.3435571307269372e-08
231,4933.644988797181,2.3414613321219872e-08
232,4934.973065331352,2.3402012557714432e-08
233,4935.419108891938,2.3397782787115814e-08
234,4934.970379735208,2.3402038028332066e-08
235,4933.652418461384,2.3414542800409462e-08
236,4931.470565410307,2.343526619004286e-08
237,4928.455888856132,2.3463945093502094e-08
238,4924.626411865202,2.3500451243051578e-08
239,4920.0395205932045,2.354429002188609e-08
240,4914.720073238706,2.359528392899548e-08
241,4908.737371063171,2.365283419902457e-08
242,4902.165360489554,2.3716296307533464e-08
243,4895.05309704658,2.3785263521212584e-08
244,4887.477698929214,2.3859053107483457e-08
245,4879.508546257385,2.3937049364379744e-08
246,4871.243945291845,2.4018341939263334e-08
247,4862.761253786132,2.4102211115066224e-08
248,4854.126487746135,2.4188035849563828e-08
249,4845.459222311617,2.4274645442921466e-08
250,4836.836989539779,2.4361267421853667e-08
251,4828.35100133454,2.4446974154809792e-08
252,4820.0832442434785,2.4530912535347793e-08
253,4812.120764037747,2.461216091460993e-08
254,4804.555303725706,2.4689732683868887e-08
255,4797.470873820074,2.4762705227967334e-08
256,4790.940500058283,2.4830257697506936e-08
257,4785.041853724065,2.4891513247024926e-08
258,4779.830681888485,2.4945818376729565e-08
259,4775.380644553304,2.49923325940458e-08
260,4771.740913749112,2.5030473833138813e-08
261,4768.940890309318,2.5059875115345546e-08
262,4767.02960530254,2.507997407395536e-08
263,4766.030309899676,2.5090492232077568e-08
264,4765.9503497626,2.5091334144342974e-08
265,4766.776879296856,2.508263353541336e-08
266,4768.522907394197,2.506426853399113e-08
267,4771.174044675396,2.503642198941649e-08
268,4774.695770397327,2.4999502822727342e-08
269,4779.0386211113755,2.4954087923479842e-08
270,4784.160908917443,2.490068102738712e-08
271,4789.996748594887,2.484004304884476e-08
272,4796.490924213843,2.4772824576666433e-08
273,4803.568866670707,2.4699874046914057e-08
274,4811.149113600188,2.4622103167993524e-08
275,4819.150700060968,2.454040730924483e-08
276,4827.4816669431075,2.4455779784930258e-08
277,4836.056554478369,2.4369130820933685e-08
278,4844.782472246545,2.4281427590665682e-08
279,4853.570501056275,2.419357774753133e-08
280,4862.31538577389,2.4106631600708788e-08
281,4870.926036964671,2.4021477228128304e-08
282,4879.310415912289,2.3938993389964325e-08
283,4887.394467426098,2.3859865745700166e-08
284,4895.06804449103,2.3785118261388136e-08
285,4902.257224784604,2.3715407467830344e-08
286,4908.890359562689,2.3651359912593095e-08
287,4914.915465250486,2.359340790960659e-08
288,4920.253459112199,2.354224259848734e-08
289,4924.854399318258,2.349827546948548e-08
290,4928.669424296689,2.3461911978726675e-08
291,4931.681143159752,2.3433264908893444e-08
292,4933.836902483683,2.341279181902805e-08
293,4935.122171198497,2.340059847938296e-08
294,4935.530204984973,2.3396729456312508e-08
295,4935.063025698398,2.3401159383422556e-08
296,4933.707386766546,2.3414021062712765e-08
297,4931.4782301191535,2.343519334196603e-08
298,4928.4243368338675,2.3464245529194014e-08
299,4924.570369360564,2.350098612489628e-08
300,4919.9354933469,2.3545285674594934e-08
301,4914.590415192555,2.3596528939671867e-08
302,4908.576794340616,2.365438175827786e-08
303,4901.968558420834,2.371820064853964e-08
304,4894.820648236146,2.3787522638711627e-08
305,4887.2174009741975,2.386159468794145e-08
306,4879.234763481538,2.3939735742881352e-08
307,4870.962865216065,2.402111398756075e-08
308,4862.470489475959,2.410509371243582e-08
309,4853.840926462807,2.419088199546944e-08
310,4845.178031157799,2.4277463095270128e-08
311,4836.569792472205,2.4363959180393016e-08
312,4828.090753570361,2.444960974811641e-08
313,4819.840873042801,2.453337972726215e-08
314,4811.906591908323,2.4614351878262427e-08
315,4804.375928757703,2.4691576337550707e-08
316,4797.336366065547,2.4764093841279485e-08
317,4790.845531242631,2.4831242126465358e-08
318,4784.991873197149,2.489203324684027e-08
319,4779.835956003213,2.494576332587144e-08
320,4775.419484657289,2.4991926053488532e-08
321,4771.808881343487,2.5029760791598892e-08
322,4769.050767137014,2.505872039169303e-08
323,4767.1621195076505,2.5078579782528394e-08
324,4766.19249400694,2.5088784701442235e-08
325,4766.137312919066,2.5089365647544546e-08
326,4767.010020165087,2.508018015522917e-08
327,4768.797659948227,2.506138047964081e-08
328,4771.477716882068,2.5033235293793707e-08
329,4775.013632364441,2.4996174611639735e-08
330,4779.396582601572,2.495035010100223e-08
331,4784.549933348094,2.489663191949695e-08
332,4790.437024767171,2.483547729568061e-08
333,4796.965543472304,2.4767922695315227e-08
334,4804.083513826741,2.4694582282517496e-08
335,4811.697267613696,2.461649353166689e-08
336,4819.726236401865,2.4534546788440057e-08
337,4828.09313735755,2.444958560498145e-08
338,4836.69150136866,2.436273302268781e-08
339,4845.440526961886,2.4274832762880975e-08
340,4854.225659076964,2.41870475414914e-08
341,4862.975020785225,2.4100092188245545e-08
342,4871.574229436597,2.4015085247182046e-08
343,4879.942407232969,2.393279321172135e-08
344,4888.001963206216,2.3853935360591146e-08
345,4895.645907469225,2.377950358730465e-08
346,4902.8261736236345,2.370990367463901e-08
347,4909.441852600701,2.3646046547811174e-08
348,4915.426915338344,2.3588498377645983e-08
349,4920.731870546734,2.3537665096261643e-08
350,4925.305807899594,2.3493968391906145e-08
351,4929.092973066112,2.3457880065733792e-08
352,4932.05978167558,2.3429667062778428e-08
353,4934.180834687358,2.3409528001704962e-08
354,4935.428908375974,2.33976898728117e-08
355,4935.79177917046,2.3394249684653152e-08
356,4935.27448471669,2.339915411291733e-08
357,4933.871899795089,2.3412459673452827e-08
358,4931.612472784338,2.3433917507738475e-08
359,4928.517297140387,2.34633603855477e-08
360,4924.6179554750925,2.3500531951506884e-08
361,4919.958639217108,2.3545064138243007e-08
362,4914.574677546264,2.3596680063398778e-08
363,4908.532334141525,2.365481027059628e-08
364,4901.8976794035725,2.3718886560411823e-08
365,4894.722926071695,2.378847247445884e-08
366,4887.096302039657,2.3862777250885132e-08
367,4879.106297902527,2.394099641330476e-08
368,4870.817589172636,2.4022546906932682e-08
369,4862.30428526329,2.4106741670424446e-08
370,4853.669648190707,2.419258934099379e-08
371,4844.9945404707005,2.4279302012817553e-08
372,4836.388820120366,2.4365782559633498e-08
373,4827.921580248324,2.445132323666535e-08
374,4819.690129956316,2.4534914388253317e-08
375,4811.790019950908,2.4615544522963826e-08
376,4804.287451065075,2.4692485805953946e-08
377,4797.264875985447,2.4764831928622773e-08
378,4790.816045700282,2.4831547779985507e-08
379,4784.991243813791,2.489203979507901e-08
380,4779.870563088784,2.494540210393899e-08
381,4775.506479984626,2.4991015506725205e-08
382,4771.94245484957,2.502835957348072e-08
383,4769.221711099712,2.5056924056586866e-08
384,4767.38892689866,2.5076193624388105e-08
385,4766.450023441213,2.508607370019241e-08
386,4766.428425219093,2.508630104686423e-08
387,4767.327504481911,2.507683979368782e-08
388,4769.1437064032225,2.5057743731505805e-08
389,4771.8520702716105,2.5029307716511116e-08
390,4775.428050887097,2.4991836391834067e-08
391,4779.821711794701,2.494591200638934e-08
392,4785.000367896815,2.489194486642541e-08
393,4790.884110881653,2.4830842210091526e-08
394,4797.426341584125,2.476316495102363e-08
395,4804.553313106649,2.4689753142737537e-08
396,4812.1835062829105,2.4611519121891454e-08
397,4820.234488325156,2.4529373150846272e-08
398,4828.61110785558,2.4444340417700857e-08
399,4837.2285383434455,2.4357323742539007e-08
400,4845.981763710345,2.4269410663296733e-08
401,4854.782003931725,2.4181504318990095e-08
402,4863.530234406053,2.4094590038555686e-08
403,4872.137731962792,2.400953048688076e-08
404,4880.510060501937,2.392722627791084e-08
405,4888.5543564840855,2.3848544806200405e-08
406,4896.19278768149,2.3774191781065687e-08
407,4903.339987219697,2.3704934884952897e-08
408,4909.929202223046,2.3641352663455073e-08
409,4915.90299121286,2.3583929788217516e-08
410,4921.19243712283,2.3533259597114423e-08
411,4925.73858082077,2.3489840236704197e-08
412,4929.492122568514,2.345408136929791e-08
413,4932.42149788848,2.3426230787232006e-08
414,4934.505476829274,2.3406447867594726e-08
415,4935.706831527803,2.3395054960789564e-08
416,4936.032773962337,2.3391965358368867e-08
417,4935.472092027728,2.339728043142406e-08
418,4934.026251277482,2.3410994869194216e-08
419,4931.722903691909,2.3432868057128382e-08
420,4928.591906274321,2.346265001318145e-08
421,4924.653137919725,2.350019617020913e-08
422,4919.952837665534,2.354511966641123e-08
423,4914.545911582462,2.3596956297762358e-08
424,4908.471069555701,2.3655400764531138e-08
425,4901.808293809128,2.3719751606932687e-08
426,4894.631355551336,2.3789362569349016e-08
427,4886.995635821209,2.386376034989625e-08
428,4878.978019813707,2.3942255343197308e-08
429,4870.679913992741,2.4023904974088696e-08
430,4862.168080362984,2.4108092303426726e-08
431,4853.539958450324,2.4193882241670875e-08
432,4844.875528541115,2.428049484514292e-08
433,4836.27266865642,2.436695294662097e-08
434,4827.81785226314,2.4452373944798383e-08
435,4819.593284837962,2.4535900409446356e-08
436,4811.702338682141,2.4616441644892096e-08
437,4804.218035743767,2.4693199366082272e-08
438,4797.220064014718,2.4765294599124428e-08
439,4790.783356633328,2.4831886648532398e-08
440,4784.99682233783,2.4891981755014785e-08
441,4779.890858447966,2.4945190268633207e-08
442,4775.555912273867,2.4990498140062156e-08
443,4772.031570331806,2.502742479613313e-08
444,4769.362363922289,2.5055446175538236e-08
445,4767.577064779082,2.5074214552517003e-08
446,4766.688487175301,2.5083563794546112e-08
447,4766.72180986437,2.5083213092781338e-08
448,4767.671165631879,2.5073224768781705e-08
449,4769.5351762300725,2.5053630564215643e-08
450,4772.2826697635355,2.50247911688948e-08
451,4775.88983975896,2.498700361957035e-08
452,4780.305887967242,2.49408589387388e-08
453,4785.505807884668,2.488668702309607e-08
454,4786.321398563556,2.4878206347045726e-08
