target.A1ModJulian,target.EarthMJ2000Eq.X,target.EarthMJ2000Eq.Y,target.EarthMJ2000Eq.Z,target.EarthMJ2000Eq.VX,target.EarthMJ2000Eq.VY,target.EarthMJ2000Eq.VZ
21545.30865,5474.122833,6393.488643,3016.087517,-5.266242193,3.765123772,1.719589363
21545.31024,4719.835963,6878.133746,3236.896149,-5.658447689,3.254521986,1.478622605
21545.31184,3914.581935,7290.436497,3423.594979,-5.990237631,2.710091348,1.222272473
21545.31344,3066.768417,7625.969647,3574.17441,-6.2581582,2.137671367,0.953292377
21545.31505,2185.274806,7881.093591,3686.996302,-6.459444232,1.543387636,0.674564777
21545.31665,1279.366398,8053.000449,3760.813993,-6.59204669,0.93358698,0.389070624
21545.31826,358.5656667,8139.753433,3794.7898,-6.654654484,0.314745537,0.099846207
21545.31987,-567.4038998,8140.301733,3788.501588,-6.646695935,-0.306572333,-0.190036143
21545.32148,-1488.71868,8054.504261,3741.953155,-6.568346624,-0.923783243,-0.477500504
21545.3231,-2395.609295,7883.131978,3655.574216,-6.420519237,-1.530387612,-0.75951539
21545.32471,-3278.393439,7627.871962,3530.222052,-6.204856396,-2.119989036,-1.03310284
21545.32633,-4127.629179,7291.311142,3367.172802,-5.923706695,-2.68639245,-1.295384159
21545.32795,-4934.214313,6876.909042,3168.107992,-5.580093583,-3.223664443,-1.543607934
21545.32958,-5689.454861,6388.981876,2935.106571,-5.177695297,-3.726171673,-1.775167903
21545.3312,-6385.209596,5832.634849,2670.612217,-4.720783893,-4.188668862,-1.987643666
21545.33283,-7013.937479,5213.73767,2377.421496,-4.21420218,-4.606321451,-2.178811154
21545.33446,-7568.814576,4538.841673,2058.644259,-3.663294751,-4.974774155,-2.346674189
21545.33609,-8043.793158,3815.128703,1717.679275,-3.073867328,-5.29018112,-2.489478316
21545.33772,-8433.690806,3050.30677,1358.164796,-2.452104737,-5.549256456,-2.605733826
21545.33936,-8734.22655,2252.564279,983.9568308,-1.804538558,-5.749290339,-2.69422307
21545.34099,-8942.088541,1430.456909,599.0757609,-1.137961645,-5.888187136,-2.754017651
21545.34262,-9054.969111,592.8291593,207.6693653,-0.459372313,-5.964483204,-2.78448633
21545.34426,-9071.597459,-251.3249042,-186.0524952,0.22412961,-5.977364776,-2.785302608
21545.34589,-8991.746989,-1092.904599,-577.8381011,0.905367973,-5.926670599,-2.756445775
21545.34753,-8816.244746,-1922.840978,-963.4585944,1.577192397,-5.812897944,-2.698202935
21545.34916,-8546.969403,-2732.166889,-1338.740775,2.232525114,-5.637202708,-2.61116869
21545.3508,-8186.820182,-3512.163186,-1699.63517,2.864469878,-5.401382318,-2.496236312
21545.35243,-7739.688592,-4254.426248,-2042.247441,3.466358055,-5.107861943,-2.354590927
21545.35406,-7210.425371,-4950.953067,-2362.877925,4.031810106,-4.759679089,-2.187701819
21545.35569,-6604.778967,-5594.249314,-2658.071679,4.554817248,-4.360450712,-1.997306409
21545.35732,-5929.305418,-6177.430782,-2924.665189,5.029819688,-3.9143223,-1.785385837
21545.35895,-5191.329658,-6694.258378,-3159.802488,5.451732844,-3.425951424,-1.554157021
21545.36058,-4398.852114,-7139.22423,-3360.97468,5.816017231,-2.900455477,-1.30604766
21545.3622,-3560.450025,-7507.616155,-3526.049299,6.118733018,-2.343355649,-1.043669583
